DATE,PTR,Rf,Mkt-Rf,SMB,HML,OilPriceChg,USDAPPR,PTR-Rf,NTES-Rf
4/1/2014,6.29,0.00,-0.19,-4.20,1.14,1.26,-0.15,6.29,1.17
5/1/2014,5.30,0.00,2.06,-1.89,-0.13,0.11,-0.50,5.30,5.01
6/1/2014,5.59,0.00,2.61,3.09,-0.69,3.53,2.68,5.59,10.12
7/1/2014,2.80,0.00,-2.04,-4.28,0.02,-2.08,0.61,2.80,7.25
8/1/2014,9.86,0.00,4.24,0.39,-0.44,-6.81,-2.01,9.86,5.20
9/1/2014,-7.46,0.00,-1.97,-3.72,-1.35,-3.45,0.39,-7.46,-2.70
10/1/2014,-2.34,0.00,2.52,4.22,-1.83,-9.45,3.94,-2.34,10.58
11/1/2014,-14.73,0.00,2.55,-2.05,-3.09,-10.20,-1.82,-14.73,11.94
12/1/2014,3.68,0.00,-0.06,2.50,2.27,-21.77,-0.01,3.68,-6.18
1/1/2015,-2.15,0.00,-3.11,-0.54,-3.61,-20.36,0.00,-2.15,10.20
2/1/2015,7.18,0.00,6.14,0.61,-1.87,7.12,0.01,7.18,-8.07
3/1/2015,-4.43,0.00,-1.12,3.07,-0.41,-5.46,0.00,-4.43,5.26
4/1/2015,15.92,0.00,0.59,-3.04,1.83,13.86,0.00,15.92,21.74
5/1/2015,-8.09,0.00,1.36,0.92,-1.13,8.85,-0.09,-8.09,10.62
6/1/2015,-5.18,0.00,-1.53,2.90,-0.78,0.93,-0.60,-5.18,2.44
7/1/2015,-11.21,0.00,1.54,-4.20,-4.07,-14.91,-0.52,-11.21,-4.30
8/1/2015,-15.09,0.00,-6.04,0.36,2.80,-15.78,-0.05,-15.09,-19.48
9/1/2015,-15.40,0.00,-3.07,-2.63,0.58,6.09,-0.06,-15.40,8.04
10/1/2015,12.81,0.00,7.75,-1.86,-0.45,1.63,-1.70,12.81,20.32
11/1/2015,-9.44,0.00,0.56,3.60,-0.39,-8.18,0.00,-9.44,15.70
12/1/2015,-7.89,0.01,-2.17,-2.81,-2.59,-12.37,-1.01,-7.90,8.74
1/1/2016,-6.82,0.01,-5.77,-3.39,2.07,-14.82,0.01,-6.83,-13.86
2/1/2016,7.23,0.02,-0.08,0.81,-0.58,-4.29,-0.08,7.21,-13.81
3/1/2016,1.16,0.02,6.96,0.75,1.10,23.85,-0.32,1.14,7.12
4/1/2016,10.20,0.01,0.92,0.68,3.19,8.52,-0.14,10.19,-2.02
5/1/2016,-5.69,0.01,1.78,-0.19,-1.65,14.63,0.98,-5.70,26.91
6/1/2016,-0.88,0.02,-0.05,0.58,-1.45,4.39,0.56,-0.90,8.63
7/1/2016,0.34,0.02,3.95,2.51,-1.29,-8.43,-0.09,0.32,5.70
8/1/2016,-3.07,0.02,0.50,1.17,3.11,0.16,-0.84,-3.09,4.13
9/1/2016,1.61,0.02,0.25,2.13,-1.21,1.03,-0.24,1.59,13.57
10/1/2016,1.39,0.02,-2.02,-4.41,4.12,10.18,0.00,1.37,6.71
11/1/2016,4.15,0.01,4.86,5.67,8.21,-8.28,0.00,4.14,-12.50
12/1/2016,4.48,0.03,1.82,0.09,3.60,13.82,0.00,4.45,-3.94
1/1/2017,7.86,0.04,1.94,-1.13,-2.74,1.02,0.00,7.82,17.87
2/1/2017,-4.44,0.04,3.57,-2.04,-1.67,1.85,-0.11,-4.48,20.11
3/1/2017,-3.57,0.03,0.17,1.13,-3.33,-7.74,-0.36,-3.60,-6.60
4/1/2017,-4.10,0.05,1.09,0.72,-2.13,3.51,-0.46,-4.15,-6.60
5/1/2017,-5.62,0.06,1.06,-2.52,-3.75,-5.05,-0.08,-5.68,7.65
6/1/2017,-6.74,0.06,0.78,2.23,1.49,-6.81,0.01,-6.80,5.51
7/1/2017,5.43,0.07,1.87,-1.46,-0.22,3.21,-0.31,5.36,3.47
8/1/2017,-0.45,0.09,0.16,-1.65,-2.07,3.02,-0.37,-0.54,-11.21
9/1/2017,1.29,0.09,2.51,4.45,3.09,3.71,-0.75,1.20,-4.45
10/1/2017,2.17,0.09,2.25,-1.93,0.22,3.53,-0.42,2.08,6.77
11/1/2017,3.11,0.08,3.12,-0.56,-0.05,9.81,-0.42,3.03,16.77
12/1/2017,3.55,0.09,1.06,-1.32,0.03,2.19,-0.59,3.46,4.89
1/1/2018,12.98,0.11,5.58,-3.18,-1.36,10.06,1.57,12.87,-7.33
2/1/2018,-12.43,0.11,-3.65,0.26,-1.03,-2.31,-0.31,-12.54,-8.37
3/1/2018,0.78,0.12,-2.35,4.06,-0.23,0.80,1.54,0.66,-4.54
4/1/2018,5.55,0.14,0.29,1.10,0.48,5.61,-1.54,5.41,-8.46
5/1/2018,13.03,0.14,2.65,5.31,-3.13,5.63,-1.44,12.89,-11.23
6/1/2018,-7.17,0.14,0.48,1.13,-2.33,-3.02,-0.62,-7.31,10.52
7/1/2018,-0.54,0.16,3.19,-2.25,0.45,4.58,0.00,-0.70,1.95
8/1/2018,-2.37,0.16,3.44,1.14,-3.98,-4.11,0.00,-2.53,-23.29
9/1/2018,11.72,0.15,0.06,-2.30,-1.70,3.19,0.00,11.57,15.30
10/1/2018,-10.81,0.19,-7.68,-4.82,3.43,0.74,0.00,-11.00,-9.13
11/1/2018,-4.32,0.18,1.69,-0.68,0.26,-19.49,-0.06,-4.50,9.28
12/1/2018,-11.44,0.19,-9.55,-2.42,-1.90,-13.06,-0.58,-11.63,3.47
1/1/2019,4.42,0.21,8.41,2.90,-0.44,3.76,-0.98,4.21,6.83
2/1/2019,2.47,0.18,3.40,2.04,-2.68,6.95,-0.20,2.29,-11.58
3/1/2019,-0.65,0.19,1.10,-2.98,-4.05,5.82,0.00,-0.84,8.19
4/1/2019,-3.27,0.21,3.96,-1.74,2.17,9.82,-0.06,-3.48,17.63
5/1/2019,-12.58,0.21,-6.94,-1.34,-2.37,-4.74,0.37,-12.79,-12.59
6/1/2019,1.95,0.18,6.93,0.25,-0.71,-10.14,-0.17,1.77,2.70
7/1/2019,-3.63,0.19,1.19,-1.94,0.42,4.92,-0.03,-3.82,-9.94
8/1/2019,-7.57,0.16,-2.58,-2.32,-4.95,-4.43,0.50,-7.73,10.77
9/1/2019,5.81,0.18,1.43,-0.97,6.83,3.90,1.27,5.63,4.20
10/1/2019,-5.08,0.15,2.06,0.28,-1.93,-5.25,1.63,-5.23,7.24
11/1/2019,-5.02,0.12,3.87,0.80,-2.02,5.69,-0.36,-5.14,10.19
12/1/2019,9.87,0.14,2.77,0.72,1.79,5.00,-0.26,9.73,-0.49
1/1/2020,-12.56,0.13,-0.11,-3.13,-6.24,-3.94,-0.10,-12.69,4.47
2/1/2020,-11.25,0.12,-8.13,1.03,-3.79,-12.13,-1.73,-11.37,-0.76
3/1/2020,-7.83,0.12,-13.38,-4.89,-14.02,-42.20,-0.02,-7.95,0.91
4/1/2020,-0.47,0.00,13.65,2.47,-1.18,-43.34,-0.01,-0.47,7.48
5/1/2020,-2.87,0.01,5.58,2.45,-4.80,72.57,0.01,-2.88,10.99
6/1/2020,-2.29,0.01,2.46,2.69,-2.04,34.14,0.00,-2.30,12.43
7/1/2020,4.17,0.01,5.77,-2.28,-1.53,6.26,0.00,4.16,6.75
8/1/2020,0.17,0.01,7.63,-0.26,-2.92,4.00,-0.10,0.16,6.59
9/1/2020,-11.03,0.01,-3.63,0.02,-2.62,-6.40,-0.33,-11.04,-6.69
10/1/2020,-3.33,0.01,-2.10,4.41,4.16,-0.58,-1.27,-3.34,-4.57
11/1/2020,11.91,0.01,12.47,5.65,2.13,3.91,-0.04,11.90,4.11
12/1/2020,-3.55,0.01,4.63,4.82,-1.43,14.85,-0.01,-3.56,6.18
